民富楼   1室0厅   20平米   1500元/月
嘉宝田花园   4室1厅   8平米   2290元/月
嘉宝田花园   3室1厅   8平米   2330元/月
华商时代公寓   1室1厅   43平米   3000元/月
华商时代公寓   1室0厅   43平米   3200元/月
华商时代公寓   0室1厅   70平米   5200元/月
湖馨苑   1室1厅   40平米   3000元/月
田心庆云花园   3室2厅   86平米   5500元/月
深城公寓   1室1厅   38平米   2600元/月
虹桥星座大厦   1室0厅   32平米   2800元/月
嘉宝田花园   2室1厅   60平米   5300元/月
华商时代公寓   1室1厅   70平米   5200元/月
嘉宝田花园   3室2厅   86平米   7300元/月
嘉宝田花园   3室2厅   88平米   7000元/月
嘉宝田花园   2室1厅   68平米   5500元/月
宝岗花园   1室0厅   16平米   1400元/月
祥福雅居   1室1厅   36平米   3500元/月
时尚新居   1室1厅   38平米   2800元/月
时尚新居   1室1厅   37平米   2800元/月
宝岗花园   2室2厅   80平米   3600元/月
时尚新居   1室1厅   37平米   2800元/月
时尚新居   1室1厅   47平米   3000元/月
嘉宝田花园   3室1厅   95平米   6800元/月
嘉宝田花园   3室1厅   8平米   2560元/月
嘉宝田花园   3室1厅   6平米   1790元/月
祥福雅居   1室1厅   38平米   3000元/月
虹桥星座大厦   1室1厅   39平米   3200元/月
嘉宝田花园   4室1厅   7平米   2490元/月
嘉宝田花园   2室2厅   67平米   5300元/月
嘉宝田花园   3室1厅   6平米   2160元/月
嘉宝田花园   2室1厅   69平米   5600元/月
宝龙嘉园   3室2厅   98平米   6500元/月
嘉宝田花园   2室1厅   66平米   6000元/月
祥福雅居   2室2厅   66平米   4500元/月
华商时代公寓   1室1厅   43平米   3500元/月
祥福雅居   3室1厅   82平米   6800元/月
嘉宝田花园   3室1厅   8平米   2460元/月
嘉宝田花园   2室1厅   60平米   5300元/月
笋岗大厦   2室1厅   72平米   3500元/月
嘉宝田花园   3室2厅   104平米   7500元/月
嘉宝田花园   3室1厅   86平米   7500元/月
嘉宝田花园   4室1厅   8平米   2030元/月
嘉宝田花园   4室1厅   7平米   2360元/月
宝龙嘉园   3室2厅   89平米   6500元/月
嘉宝田花园   2室2厅   67平米   5500元/月
嘉宝田花园   2室1厅   68平米   5600元/月
笋岗大厦   2室1厅   59平米   3800元/月
民富楼   4室2厅   120平米   8500元/月
嘉宝田花园   2室2厅   67平米   5000元/月
嘉宝田花园   2室2厅   67平米   5000元/月
中民时代广场   1室1厅   95平米   11300元/月
深城公寓   1室1厅   33平米   2800元/月
宝岗花园   1室0厅   10平米   1600元/月
嘉宝田花园   3室1厅   9平米   2590元/月
嘉宝田花园   3室1厅   7平米   2230元/月
嘉宝田花园   3室1厅   6平米   1890元/月
嘉宝田花园   4室1厅   14平米   2690元/月
嘉宝田花园   4室1厅   11平米   2690元/月
嘉宝田花园   3室2厅   99平米   7500元/月
华商时代公寓   1室1厅   43平米   3500元/月
深城公寓   1室1厅   52平米   3500元/月
嘉宝田花园   3室2厅   95平米   7000元/月
华商时代公寓   1室0厅   43平米   3000元/月
嘉宝田花园   3室2厅   112平米   6800元/月
嘉宝田花园   4室1厅   12平米   2590元/月
宝岗花园   2室1厅   60平米   3000元/月
嘉宝田花园   3室1厅   62平米   5920元/月
嘉宝田花园   2室1厅   68平米   5800元/月
嘉宝田花园   3室1厅   6平米   1790元/月
嘉宝田花园   3室1厅   112平米   8000元/月
嘉宝田花园   3室1厅   151平米   13000元/月
时尚新居   1室1厅   44平米   3500元/月
深城公寓   1室1厅   54平米   3500元/月
笋岗大厦   2室1厅   66平米   3900元/月
嘉宝田花园   3室2厅   104平米   8500元/月
华商时代公寓   1室0厅   43平米   3000元/月
华商时代公寓   1室0厅   43平米   3000元/月
华商时代公寓   1室0厅   63平米   3500元/月
深城公寓   2室1厅   65平米   4500元/月
