雅颂居   5室3厅   235平米   50000元/月
福华新村   3室2厅   93平米   5800元/月
中海华庭   2室2厅   85平米   12000元/月
星河世纪   2室1厅   44平米   7500元/月
福华新村   2室1厅   70平米   5500元/月
大中华国际金融中心   3室2厅   130平米   15000元/月
恒运豪庭   2室1厅   76平米   8000元/月
彩天名苑   2室1厅   61平米   5500元/月
彩福大厦   3室2厅   120平米   9500元/月
橄榄鹏苑   1室1厅   33平米   4000元/月
彩福大厦   3室1厅   114平米   8500元/月
大中华国际金融中心   3室1厅   130平米   15000元/月
星河世纪   1室1厅   45平米   5000元/月
橄榄鹏苑   5室3厅   170平米   15000元/月
彩天名苑   1室1厅   41平米   3800元/月
彩虹新都   3室2厅   120平米   7500元/月
嘉麟豪庭   3室1厅   140平米   15000元/月
星河世纪   1室0厅   65平米   14300元/月
润恒大厦   1室1厅   39平米   4500元/月
黄埔雅苑四区   1室1厅   80平米   12000元/月
中海华庭   2室2厅   85平米   12000元/月
润恒大厦   1室1厅   39平米   4500元/月
星河世纪   1室0厅   165平米   33000元/月
星河世纪   1室0厅   165平米   33000元/月
皇洲花园   3室2厅   86平米   6500元/月
振业花园   3室2厅   99平米   7000元/月
彩天名苑   1室0厅   36平米   3600元/月
星河国际花园   4室2厅   161平米   20000元/月
星河国际花园   4室2厅   156平米   19000元/月
星河世纪   1室0厅   64平米   29700元/月
皇洲花园   2室1厅   79平米   5500元/月
星河世纪   3室1厅   64平米   8500元/月
嘉麟豪庭   1室0厅   107平米   9700元/月
星河世纪   1室0厅   64平米   29700元/月
辛诚花园   3室1厅   125平米   6000元/月
星河国际花园   4室2厅   156平米   19000元/月
皇洲花园   2室1厅   79平米   5500元/月
彩福大厦   1室1厅   44平米   3800元/月
黄埔雅苑三区   2室2厅   78平米   9900元/月
雅颂居   3室2厅   124平米   15000元/月
天健世纪花园   3室2厅   131平米   16000元/月
恒运豪庭   2室1厅   76平米   8200元/月
福景大厦   3室2厅   98平米   7500元/月
中银花园   2室2厅   85平米   6500元/月
振业花园   3室2厅   93平米   7000元/月
彩天名苑   1室1厅   48平米   4800元/月
深圳市勘察研究院   3室2厅   81平米   5800元/月
中海华庭   2室2厅   85平米   16500元/月
海连大厦   3室2厅   100平米   8500元/月
福源大厦   4室2厅   104平米   7500元/月
恒运豪庭   4室1厅   7平米   2360元/月
中银花园   4室1厅   10平米   2630元/月
高科利花园   4室1厅   7平米   2230元/月
辛诚花园   5室1厅   11平米   3030元/月
高科利花园   4室1厅   12平米   2490元/月
中银花园   3室1厅   10平米   2330元/月
皇洲花园   4室1厅   10平米   2360元/月
长福花园   3室1厅   23平米   3060元/月
国际村   4室1厅   8平米   2190元/月
东华大厦   4室1厅   8平米   2330元/月
东华大厦   4室1厅   8平米   2160元/月
辛诚花园   4室1厅   6平米   2490元/月
彩虹新都   3室1厅   11平米   2330元/月
彩虹新都   1室0厅   80平米   5597元/月
彩虹新都   1室1厅   20平米   1600元/月
中海华庭   4室2厅   140平米   17000元/月
黄埔雅苑二区   2室2厅   80平米   9000元/月
彩天名苑   1室0厅   48平米   5000元/月
福源大厦   2室2厅   78平米   5700元/月
彩天名苑   2室1厅   61平米   5500元/月
福源大厦   4室2厅   101平米   8000元/月
彩虹新都   1室0厅   113平米   7945元/月
港丽豪园   3室2厅   113平米   14000元/月
彩福大厦   3室2厅   95平米   7000元/月
星河世纪   1室0厅   37平米   4300元/月
中银花园   3室2厅   99平米   7000元/月
港丽豪园   3室1厅   105平米   15000元/月
彩福大厦   1室1厅   49平米   4200元/月
长福花园   2室2厅   78平米   6300元/月
中海华庭   4室2厅   130平米   23000元/月
福源大厦   2室2厅   79平米   6000元/月
福华新村   2室2厅   75平米   5500元/月
福莲花园   3室2厅   85平米   6000元/月
润恒大厦   1室1厅   39平米   4500元/月
星河世纪   1室0厅   108平米   21600元/月
高科利花园   3室2厅   98平米   7000元/月
春晖苑   2室2厅   70平米   5000元/月
福莲花园   3室2厅   94平米   5500元/月
嘉麟豪庭   3室1厅   117平米   12000元/月
黄埔雅苑二区   4室2厅   163平米   16000元/月
福华新村   3室2厅   88平米   6600元/月
福源大厦   2室2厅   78平米   5700元/月
联合广场福田   9室2厅   288平米   36000元/月
彩虹新都   1室0厅   104平米   7517元/月
彩虹新都   1室0厅   104平米   7717元/月
彩虹新都   1室0厅   113平米   7945元/月
港丽豪园   3室2厅   113平米   14000元/月
彩福大厦   3室2厅   95平米   7000元/月
星河世纪   1室0厅   37平米   4300元/月
中银花园   3室2厅   99平米   7000元/月
港丽豪园   3室1厅   105平米   15000元/月
星河国际花园   2室2厅   87平米   12000元/月
彩福大厦   1室1厅   49平米   4200元/月
长福花园   2室2厅   78平米   6300元/月
中海华庭   4室2厅   130平米   23000元/月
华景花园   2室1厅   77平米   5500元/月
星河世纪   1室0厅   108平米   21600元/月
彩虹新都   1室0厅   122平米   9167元/月
彩虹新都   1室0厅   122平米   9167元/月
彩虹新都   1室0厅   193平米   13162元/月
福莲花园   3室2厅   94平米   5500元/月
嘉麟豪庭   3室1厅   117平米   12000元/月
黄埔雅苑二区   4室2厅   163平米   16000元/月
彩虹新都   1室0厅   104平米   7699元/月
彩虹新都   1室0厅   123平米   9256元/月
福华新村   3室2厅   88平米   6600元/月
城中雅苑   2室2厅   84平米   11000元/月
彩虹新都   1室0厅   193平米   13936元/月
彩虹新都   1室0厅   122平米   9167元/月
彩虹新都   1室0厅   193平米   13936元/月
润恒大厦   1室1厅   40平米   4500元/月
港丽豪园   3室2厅   136平米   17000元/月
春晖苑   1室1厅   42平米   3700元/月
星河国际花园   2室2厅   87平米   14000元/月
橄榄鹏苑   3室2厅   97平米   11000元/月
润恒大厦   1室1厅   44平米   4500元/月
中银花园   3室2厅   99平米   12000元/月
星河世纪   3室2厅   104平米   10000元/月
深业花园   3室2厅   95平米   12000元/月
彩天名苑   2室1厅   78平米   6500元/月
城中雅苑   4室1厅   150平米   18000元/月
彩天名苑   1室0厅   36平米   4200元/月
深圳市勘察研究院   3室2厅   99平米   6200元/月
彩天名苑   1室1厅   44平米   4000元/月
星河世纪   2室1厅   64平米   8000元/月
春晖苑   1室1厅   42平米   4200元/月
联合广场福田   1室1厅   127平米   15200元/月
福莲花园   4室1厅   6平米   1890元/月
国际村   4室1厅   6平米   1830元/月
彩虹新都   4室1厅   8平米   2030元/月
彩福大厦   4室1厅   8平米   1990元/月
华景花园   4室1厅   16平米   2390元/月
中银花园   3室1厅   10平米   2730元/月
福华新村   3室1厅   10平米   2330元/月
福华新村   3室1厅   8平米   2230元/月
彩天名苑   1室1厅   40平米   4960元/月
中银花园   3室1厅   10平米   2660元/月
彩福大厦   4室1厅   7平米   1990元/月
国际村   4室1厅   100平米   6000元/月
春晖苑   1室1厅   42平米   3800元/月
万景花园   2室2厅   72平米   5700元/月
中海华庭   2室1厅   85平米   13000元/月
星河世纪   3室2厅   185平米   35150元/月
深大新村   4室2厅   104平米   5500元/月
彩虹新都   2室2厅   105平米   7500元/月
长福花园   4室1厅   6平米   1990元/月
星河世纪   1室1厅   54平米   11880元/月
福华新村   3室1厅   48平米   4500元/月
彩天名苑   2室1厅   61平米   5300元/月
中海华庭   3室2厅   168平米   24000元/月
中海华庭   3室2厅   121平米   15000元/月
星河世纪   2室1厅   54平米   11880元/月
澳新亚大厦（首座）   1室1厅   46平米   5500元/月
深业花园   3室2厅   116平米   14000元/月
星河国际花园   4室2厅   162平米   25000元/月
黄埔雅苑一区   3室2厅   107平米   13000元/月
黄埔雅苑一区   2室2厅   78平米   9500元/月
雅颂居   3室2厅   129平米   17000元/月
彩虹新都   3室2厅   120平米   7500元/月
黄埔雅苑一区   3室2厅   108平米   14500元/月
中银花园   2室2厅   85平米   6500元/月
星河国际花园   3室2厅   123平米   14000元/月
澳新亚大厦（首座）   1室1厅   45平米   6000元/月
彩福大厦   3室1厅   114平米   8000元/月
中海华庭   3室2厅   168平米   24000元/月
大中华国际金融中心   4室1厅   430平米   100000元/月
彩天名苑   3室2厅   86平米   8000元/月
澳新亚大厦（首座）   1室1厅   45平米   6000元/月
中银花园   2室2厅   85平米   6500元/月
星河国际花园   5室2厅   162平米   21500元/月
彩福大厦   3室2厅   95平米   7500元/月
华融大厦   4室1厅   295平米   70000元/月
彩福大厦   1室1厅   51平米   4000元/月
彩福大厦   1室1厅   49平米   4000元/月
联合广场福田   1室0厅   287平米   31570元/月
福华新村   3室2厅   48平米   5000元/月
大中华国际金融中心   2室0厅   211平米   37000元/月
港丽豪园   3室2厅   99平米   13000元/月
星河国际花园   3室2厅   168平米   19000元/月
澳新亚大厦（首座）   1室1厅   45平米   5400元/月
城中雅苑   4室2厅   141平米   25000元/月
金中环国际商务大厦   6室1厅   317平米   285元/月
彩福大厦   4室2厅   114平米   8500元/月
振业花园   3室2厅   99平米   6500元/月
澳新亚大厦（首座）   1室1厅   44平米   5800元/月
彩天名苑   2室2厅   78平米   6000元/月
中海华庭   2室2厅   83平米   14000元/月
福华新村   3室2厅   86平米   6000元/月
黄埔雅苑三区   2室2厅   78平米   10000元/月
中银花园   2室2厅   85平米   6000元/月
中银花园   2室1厅   85平米   6500元/月
黄埔雅苑一区   4室2厅   158平米   16000元/月
深南大道1012号   3室2厅   79平米   4800元/月
黄埔雅苑二区   2室2厅   90平米   10000元/月
橄榄鹏苑   2室1厅   90平米   8300元/月
彩天名苑   3室1厅   7平米   2130元/月
东华大厦   4室1厅   9平米   2260元/月
福华新村   3室1厅   8平米   2430元/月
中银花园   3室1厅   10平米   2430元/月
中银花园   3室1厅   10平米   2490元/月
恒运豪庭   3室1厅   7平米   2690元/月
福源大厦   4室1厅   6平米   2090元/月
润恒大厦   2室1厅   58平米   6830元/月
中银花园   3室1厅   10平米   2490元/月
彩福大厦   3室1厅   7平米   2560元/月
润恒大厦   1室1厅   43平米   5360元/月
长福花园   4室1厅   7平米   2030元/月
彩福大厦   1室1厅   49平米   5060元/月
皇洲花园   4室1厅   9平米   2560元/月
皇洲花园   4室1厅   7平米   2360元/月
深大新村   4室1厅   10平米   2190元/月
福源大厦   4室1厅   9平米   2260元/月
福岗园   3室1厅   8平米   2230元/月
中银花园   3室1厅   10平米   2390元/月
中银花园   3室1厅   11平米   2560元/月
恒运豪庭   4室1厅   6平米   2260元/月
皇洲花园   4室1厅   9平米   2430元/月
中银花园   3室1厅   9平米   2590元/月
皇洲花园   4室1厅   7平米   1930元/月
中银花园   3室1厅   10平米   2560元/月
皇洲花园   4室1厅   11平米   2560元/月
彩福大厦   4室1厅   7平米   2230元/月
中银花园   3室1厅   10平米   2490元/月
福华新村   3室1厅   7平米   2260元/月
福莲花园   3室2厅   96平米   6500元/月
中银花园   4室1厅   11平米   2690元/月
皇家翠苑   3室2厅   136平米   13000元/月
振业花园   4室1厅   9平米   2130元/月
港丽豪园   2室2厅   98平米   12000元/月
城中雅苑   3室2厅   115平米   13000元/月
恒运豪庭   3室2厅   94平米   9000元/月
城中雅苑   3室2厅   115平米   13000元/月
恒运豪庭   3室2厅   94平米   9000元/月
星河国际花园   2室2厅   85平米   11000元/月
春晖苑   4室2厅   160平米   11000元/月
黄埔雅苑一区   3室2厅   107平米   13000元/月
振业花园   3室2厅   96平米   7500元/月
中银花园   2室1厅   85平米   6500元/月
港丽豪园   2室2厅   112平米   15000元/月
彩虹新都   2室2厅   105平米   6000元/月
城中雅苑   2室2厅   84平米   9000元/月
城中雅苑   2室2厅   83平米   12000元/月
皇家翠苑   3室2厅   139平米   11000元/月
福源大厦   3室1厅   94平米   9600元/月
发展兴苑   4室2厅   229平米   29000元/月
中海华庭   3室2厅   128平米   17000元/月
发展兴苑   5室2厅   229平米   30000元/月
嘉麟豪庭   2室2厅   123平米   11000元/月
皇洲花园   4室1厅   7平米   2290元/月
星河国际花园   2室2厅   87平米   12000元/月
海连大厦   2室1厅   78平米   6500元/月
星河国际花园   2室2厅   87平米   11000元/月
彩天名苑   1室0厅   41平米   4000元/月
星河国际花园   4室2厅   168平米   25000元/月
发展兴苑   5室2厅   188平米   25000元/月
黄埔雅苑二区   4室2厅   155平米   16000元/月
联合广场福田   2室1厅   127平米   14000元/月
黄埔雅苑三区   2室2厅   80平米   11000元/月
福华新村   3室2厅   86平米   6800元/月
联合广场福田   2室1厅   127平米   20000元/月
联合广场福田   1室1厅   145平米   17400元/月
长福花园   1室0厅   15平米   1300元/月
城中雅苑   5室2厅   142平米   15000元/月
润恒大厦   1室1厅   43平米   4600元/月
福莲花园   3室2厅   93平米   7200元/月
天健世纪花园   2室1厅   62平米   8000元/月
润恒大厦   1室1厅   55平米   4600元/月
黄埔雅苑四区   3室2厅   210平米   28000元/月
辛诚花园   3室2厅   115平米   10000元/月
彩天名苑   2室1厅   61平米   5300元/月
星河国际花园   4室2厅   183平米   25000元/月
星河世纪   1室0厅   42平米   5500元/月
国际村   4室1厅   10平米   2230元/月
彩虹新都   4室1厅   8平米   2130元/月
中银花园   3室1厅   10平米   2560元/月
中海华庭   3室2厅   139平米   23000元/月
福景大厦   4室2厅   185平米   18000元/月
城中雅苑   2室1厅   87平米   11000元/月
辛诚花园   4室2厅   120平米   9000元/月
城中雅苑   4室2厅   175平米   30000元/月
皇洲花园   4室1厅   7平米   2230元/月
中海华庭   3室2厅   119平米   14500元/月
彩福大厦   3室2厅   91平米   8500元/月
星河国际花园   3室2厅   143平米   20000元/月
嘉麟豪庭   3室2厅   123平米   11000元/月
雅颂居   3室2厅   139平米   20000元/月
雅颂居   4室2厅   188平米   40000元/月
雅颂居   5室2厅   265平米   50000元/月
雅颂居   3室2厅   129平米   18000元/月
中海华庭   4室2厅   256平米   32000元/月
黄埔雅苑二区   4室2厅   133平米   15000元/月
中海华庭   4室2厅   256平米   32000元/月
黄埔雅苑二区   4室2厅   133平米   15000元/月
雅颂居   3室2厅   129平米   18000元/月
深业花园   3室2厅   146平米   18000元/月
彩福大厦   4室1厅   6平米   1930元/月
星河世纪   1室1厅   42平米   4800元/月
发展兴苑   4室2厅   188平米   18000元/月
润恒大厦   1室1厅   43平米   5390元/月
彩虹新都   3室2厅   120平米   8500元/月
大中华国际金融中心   1室2厅   80平米   8200元/月
福源大厦   4室2厅   101平米   10000元/月
大中华国际金融中心   1室1厅   69平米   8000元/月
国际商会大厦   1室1厅   97平米   220元/月
国际商会大厦   1室1厅   690平米   220元/月
国际商会大厦   1室0厅   37平米   7500元/月
国际商会大厦   1室0厅   105平米   10000元/月
国际商会大厦   2室1厅   62平米   12000元/月
国际商会大厦   2室1厅   95平米   19000元/月
国际商会大厦   2室1厅   61平米   12000元/月
国际商会大厦   1室0厅   150平米   27000元/月
国际商会大厦   1室0厅   68平米   10000元/月
国际商会大厦   4室0厅   136平米   27000元/月
国际商会大厦   3室0厅   188平米   35720元/月
国际商会大厦   2室1厅   61平米   12000元/月
国际商会大厦   2室1厅   62平米   12000元/月
国际商会大厦   4室0厅   242平米   53240元/月
荣超国际商会中心   1室0厅   132平米   42410元/月
黄埔雅苑四区   2室1厅   200平米   28000元/月
国际商会大厦   1室0厅   96平米   19200元/月
国际商会大厦   3室0厅   200平米   39000元/月
金中环国际商务大厦   5室0厅   335平米   93800元/月
金中环国际商务大厦   2室0厅   244平米   58560元/月
华融大厦   3室0厅   267平米   220元/月
华融大厦   3室0厅   123平米   230元/月
荣超国际商会中心   4室0厅   298平米   83440元/月
园心苑   5室2厅   190平米   15000元/月
荣超国际商会中心   3室1厅   162平米   45360元/月
金中环国际商务大厦   1室0厅   280平米   200元/月
国际商会大厦   1室0厅   87平米   18270元/月
中海华庭   3室2厅   107平米   13000元/月
星河国际花园   3室2厅   123平米   15000元/月
福华新村   3室2厅   86平米   2800元/月
中银花园   2室2厅   85平米   6500元/月
国际商会大厦   1室1厅   690平米   220元/月
国际商会大厦   1室1厅   52平米   11440元/月
国际商会大厦   4室0厅   250平米   62500元/月
金中环国际商务大厦   5室0厅   120平米   26500元/月
国际商会大厦   1室0厅   68平米   1元/月
金中环国际商务大厦   4室0厅   317平米   85590元/月
金中环国际商务大厦   3室1厅   125平米   30000元/月
国际商会大厦   1室0厅   78平米   20000元/月
国际商会大厦   2室0厅   136平米   27000元/月
国际商会大厦   1室0厅   68平米   10000元/月
国际商会大厦   2室1厅   93平米   18000元/月
国际商会大厦   2室1厅   95平米   18000元/月
国际商会大厦   2室1厅   95平米   18000元/月
国际商会大厦   2室1厅   93平米   18000元/月
国际商会大厦   1室0厅   142平米   22720元/月
星河世纪   4室0厅   198平米   61974元/月
荣超国际商会中心   3室1厅   285平米   74100元/月
国际商会大厦   1室0厅   37平米   7849元/月
国际商会大厦   1室1厅   350平米   220元/月
国际商会大厦   2室1厅   139平米   30580元/月
国际商会大厦   3室2厅   418平米   100000元/月
国际商会大厦   1室0厅   76平米   1元/月
国际商会大厦   2室1厅   93平米   18000元/月
国际商会大厦   2室1厅   93平米   18000元/月
