地区,区域,小区,室,厅,面积,价格,每室价格,每平米价格,中民距离,中民时间,中信距离,中信时间,,
罗湖,布心,阳光明居,1,1,35,3000,3000,85,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,布心花园一区,2,1,84,3500,1750,41,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,鹏城花园,3,1,80,4000,1333,50,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,布心花园一区,3,1,84,3500,1166,41,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉山庄,4,1,93,6000,1500,64,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,0,26,2400,2400,92,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,翡翠园,2,1,42,2800,1400,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,2,1,80,3000,1500,37,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,1,1,47,3600,3600,76,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,旭飞华天苑,1,1,28,2000,2000,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太阳新城,1,1,41,3600,3600,87,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,1,0,33,2200,2200,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,泰和花园,3,2,89,5500,1833,61,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,52,4100,2050,78,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,4,1,80,7000,1750,87,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,0,26,2600,2600,100,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,62,4700,2350,75,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,2,104,3600,1200,34,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,3,1,73,4800,1600,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,翡翠园,1,1,42,2800,2800,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,1,0,32,2300,2300,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,72,6000,3000,83,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉阁,2,1,60,5000,2500,83,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,1,1,51,3000,3000,58,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,山湖居,2,1,73,4300,2150,58,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太白居,3,1,117,6500,2166,55,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,港鹏新村,3,2,80,3000,1000,37,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,1,37,3200,3200,86,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金祥都市花园,3,1,87,3900,1300,44,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,2,1,50,2800,1400,56,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,72,5600,2800,77,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,62,4200,2100,67,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,鹏城花园,3,1,81,4000,1333,49,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,3,1,76,5300,1766,69,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,1,0,47,1800,1800,38,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,2,72,5500,2750,76,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,63,4500,2250,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,62,4500,2250,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,1,0,50,3000,3000,60,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,阳光明居,2,2,80,4600,2300,57,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,2,1,65,4200,2100,64,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,1,81,3600,1200,44,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,1,107,3600,1200,33,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,丰湖花园,2,1,39,3000,1500,76,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,2,1,70,3400,1700,48,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,淘金山一期,4,2,158,16800,4200,106,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,中华花园,2,2,82,4000,2000,48,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金祥都市花园,3,1,78,3400,1133,43,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,颖隆大厦,3,2,104,5000,1666,48,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,旭飞华天苑,1,0,21,1500,1500,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,2,1,70,3300,1650,47,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,2,66,4800,2400,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,1,36,3000,3000,83,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,泰和花园,3,1,89,5300,1766,59,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,63,4500,2250,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金祥都市花园,3,2,90,3300,1100,36,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,泰和花园,2,1,73,4500,2250,61,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,1,1,41,2600,2600,63,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,宝湖名园,3,2,118,8000,2666,67,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,6,0,87,7000,1166,80,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,深华花园,3,2,110,4600,1533,41,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,山湖居,3,2,81,5200,1733,64,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,淘金山一期,5,2,192,16800,3360,87,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,布心公寓,1,1,58,3000,3000,51,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,62,4500,2250,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太阳新城,2,1,66,5000,2500,75,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,绿景山庄,3,1,103,5500,1833,53,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,山湖居,3,1,81,5200,1733,64,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,1,1,50,3000,3000,60,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,青湖山庄,3,2,85,3800,1266,44,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,4,1,106,4800,1200,45,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,62,4800,2400,77,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,青橙时代,2,1,37,3500,1750,94,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太阳新城,2,1,76,5200,2600,68,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雅仕居,1,0,19,1800,1800,94,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,麟腾苑二期,1,0,22,2400,2400,109,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉山庄,3,1,106,6000,2000,56,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,44,4000,2000,90,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,1,1,45,4400,4400,97,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,鹏城花园,3,1,91,4000,1333,43,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,43,3700,1850,86,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,阳光明居,1,1,36,3600,3600,100,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,1,1,45,4000,4000,88,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金豪花园,2,1,76,3500,1750,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,一致春晓苑,2,2,67,3500,1750,52,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,旭飞华天苑,1,1,27,2000,2000,74,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,1,37,3300,3300,89,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,66,5500,2750,83,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,丰湖花园,2,1,62,4200,2100,67,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,66,4300,2150,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,44,3800,1900,86,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,68,5000,2500,73,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金祥都市花园,1,1,50,2300,2300,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,1,1,36,3600,3600,100,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,4,2,118,5200,1300,44,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,颖隆大厦,1,1,53,3000,3000,56,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉山庄,2,1,90,5000,2500,55,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,紫荆花园,4,2,99,4600,1150,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,旭飞华天苑,2,1,56,3000,1500,53,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,丰湖花园,1,1,46,3000,3000,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,63,4500,2250,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,2,1,62,3500,1750,56,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太阳新城,1,1,45,3600,3600,80,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,1,84,4500,1500,53,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,丰湖花园,2,1,68,4200,2100,61,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,颖隆大厦,1,1,40,2500,2500,62,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,3,2,97,6500,2166,67,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,港鹏新村,3,1,75,3000,1000,40,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,3,1,92,6000,2000,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,碧岭华庭,2,2,82,5500,2750,67,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,3,1,90,5800,1933,64,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,1,0,53,3500,3500,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉山庄,2,2,100,4600,2300,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,路桥大厦,2,1,40,3500,1750,87,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,68,4700,2350,69,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,花半里别馆,2,1,66,5000,2500,75,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,颖隆大厦,1,0,34,2000,2000,58,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,2,110,4300,1433,39,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,海关草埔生活区,3,2,83,3500,1166,42,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,淘金山二期,4,2,150,15000,3750,100,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,翡翠园,2,1,43,3200,1600,74,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,1,1,45,3000,3000,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,丰湖花园,2,1,62,4900,2450,79,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,英达花园,3,2,96,5000,1666,52,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,翠怡苑,3,2,96,4500,1500,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,海鹰大厦,2,1,65,3200,1600,49,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,海鹰大厦,5,1,147,6500,1300,44,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,东湖豪庭,3,2,160,8000,2666,50,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,44,4000,2000,90,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,翡翠园,1,1,42,3200,3200,76,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,3,1,76,5500,1833,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雅仕居,2,2,61,4000,2000,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金祥都市花园,3,1,100,4200,1400,42,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,2,1,48,4000,2000,83,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,碧岭华庭,3,2,123,8500,2833,69,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,绿景山庄,3,2,100,5100,1700,51,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,边防布心住宅区,2,1,65,3600,1800,55,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,青橙时代,2,1,45,3500,1750,77,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太阳新城,3,2,99,6500,2166,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,逸心苑,2,1,60,4000,2000,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,3,1,75,3500,1166,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉山庄,3,1,76,5000,1666,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,2,84,4500,1500,53,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,1,1,49,3500,3500,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雅仕居,1,0,22,2200,2200,100,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,青湖山庄,2,1,66,3200,1600,48,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,72,5800,2900,80,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,长富花园,2,1,50,3000,1500,60,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,2,1,63,3200,1600,50,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,边防布心住宅区,2,1,65,3600,1800,55,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,青湖山庄,2,1,66,3200,1600,48,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,72,5800,2900,80,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,长富花园,2,1,50,3000,1500,60,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,逸心苑,2,1,60,4000,2000,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,3,1,75,3500,1166,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉山庄,5,1,380,45000,9000,118,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,3,1,72,4800,1600,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,2,1,63,3200,1600,50,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,旭飞华天苑,1,1,29,2000,2000,68,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,2,2,80,4000,2000,50,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,绿景山庄,3,2,93,4800,1600,51,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太阳新城,1,1,13,2460,2460,189,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,3,1,98,7200,2400,73,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,布心公寓,1,1,28,2300,2300,82,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,70,6000,3000,85,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,2,110,4300,1433,39,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,4,2,125,8200,2050,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,4,2,125,8200,2050,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,中华花园,2,2,60,3200,1600,53,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,华秀花园,1,0,42,2100,2100,50,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,港鹏新村,1,1,35,1300,1300,37,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,鹏城花园,3,1,86,4000,1333,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金祥都市花园,3,2,86,5500,1833,63,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,1,1,44,2500,2500,56,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,1,1,37,3700,3700,100,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,3,1,98,7000,2333,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,边防布心住宅区,4,2,181,7000,1750,38,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,山湖居,2,2,64,4500,2250,70,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雅仕居,1,0,20,2800,2800,140,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,海鹰大厦,1,1,45,2300,2300,51,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,2,2,75,5500,2750,73,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金豪花园,3,2,75,4000,1333,53,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,鹿鸣园,3,2,103,7500,2500,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,淳安居,3,1,107,6200,2066,57,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,4,1,102,4300,1075,42,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,52,4200,2100,80,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,62,4600,2300,74,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,翡翠园,1,1,43,2700,2700,62,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,44,3500,1750,79,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,布心花园一区,3,1,86,3500,1166,40,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,68,5000,2500,73,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,0,26,2800,2800,107,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,翠景山庄,4,1,125,8800,2200,70,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,1,36,3500,3500,97,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉山庄,3,1,90,5500,1833,61,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,育才花园,3,2,88,3500,1166,39,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,丰湖花园,1,1,41,3200,3200,78,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,3,1,93,5500,1833,59,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金祥都市花园,5,2,140,5300,1060,37,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,2,1,70,5000,2500,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金豪花园,2,2,75,3500,1750,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,68,5000,2500,73,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,68,4500,2250,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉山庄,2,1,94,4800,2400,51,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,1,110,4500,1500,40,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,边防布心住宅区,3,2,105,4800,1600,45,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,1,80,3300,1100,41,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,67,4500,2250,67,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,阳光明居,2,2,75,5000,2500,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,3,1,89,8500,2833,95,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,阳光明居,2,2,75,5000,2500,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,1,1,47,3500,3500,74,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,阳光明居,3,2,93,5500,1833,59,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,52,4300,2150,82,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,维富大厦,2,1,73,4300,2150,58,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,4,1,116,5200,1300,44,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雅仕居,1,0,22,1800,1800,81,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,3,2,97,7200,2400,74,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,2,1,63,3500,1750,55,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,泰和花园,3,2,89,3900,1300,43,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,1,1,47,3800,3800,80,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,2,1,78,3500,1750,44,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,69,5000,2500,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太白居,3,1,91,5800,1933,63,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,碧岭华庭,2,1,66,4500,2250,68,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,英达花园,4,1,82,3800,950,46,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,港鹏新村,2,1,58,2300,1150,39,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,海鹰大厦,1,1,40,2300,2300,57,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,1,99,4500,1500,45,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,布心花园一区,2,1,78,3200,1600,41,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,72,6000,3000,83,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,阳光明居,2,1,55,3800,1900,69,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,1,0,48,3100,3100,64,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,1,1,44,2700,2700,61,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,2,1,72,5200,2600,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,3,2,98,7000,2333,71,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,64,4700,2350,73,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,太阳新城,2,2,76,5000,2500,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,海鹰大厦,1,0,20,1560,1560,78,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,52,4100,2050,78,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,1,1,45,4200,4200,93,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,丰湖花园,1,1,46,3000,3000,65,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,山湖居,2,2,64,8000,4000,125,7444,2604,19378,6149,43.4,102.4833333
